Rank, Pair, Score, 3day Pos, Week Pos, Month Pos, 3day %, Week %, Month %, Weightage (3d/w/m) = 1  1.5  2 , (c) Bwinners; 2021 @dryeap
 1 ,  IOTX / USDT,   145.14 ,   3 ,   2 ,   3 ,   10.32 ,   47.04 ,   87.78 
 2 ,  TRU / USDT,   139.25 ,   7 ,   10 ,   1 ,   7.73 ,   14.46 ,   117.06 
 3 ,  DEXE / BUSD,   106.455 ,   0 ,   58 ,   2 ,  ,   8.595 ,   97.86 
 4 ,  BADGER / USDT,   65.84 ,   41 ,   13 ,   7 ,   4.02 ,   14.16 ,   47.66 
 5 ,  PSG / USDT,   64.455 ,   16 ,   6 ,   11 ,   5.87 ,   15.525 ,   43.06 
 6 ,  FIS / USDT,   63.64 ,   52 ,   0 ,   4 ,   3.52 ,  ,   60.12 
 7 ,  PSG / BUSD,   60.99 ,   17 ,   8 ,   12 ,   5.54 ,   14.79 ,   40.66 
 8 ,  IOTX / BUSD,   60.155 ,   2 ,   1 ,   0 ,   11 ,   49.155 ,  ,  
 9 ,  TLM / USDT,   59.555 ,   0 ,   26 ,   6 ,  ,   11.655 ,   47.9 
 10 ,  DEXE / USDT,   57.28 ,   0 ,   33 ,   8 ,  ,   10.62 ,   46.66 
 11 ,  TLM / BUSD,   53.755 ,   0 ,   53 ,   10 ,  ,   9.075001 ,   44.68 
 12 ,  HEGIC / BUSD,   50.575 ,   9 ,   18 ,   26 ,   7.35 ,   13.725 ,   29.5 
 13 ,  TVK / BUSD,   50.23 ,   0 ,   15 ,   14 ,  ,   14.01 ,   36.22 
 14 ,  ALICE / USDT,   48.26 ,   0 ,   0 ,   5 ,  ,  ,   48.26 
 15 ,  C98 / USDT,   46.485 ,   0 ,   11 ,   18 ,  ,   14.385 ,   32.1 
 16 ,  IOTX / ETH,   45.855 ,   5 ,   3 ,   0 ,   8.49 ,   37.365 ,  ,  
 17 ,  CHR / USDT,   45.625 ,   0 ,   38 ,   15 ,  ,   9.765 ,   35.86 
 18 ,  ALICE / BUSD,   45.08 ,   0 ,   0 ,   9 ,  ,  ,   45.08 
 19 ,  DF / BUSD,   43.77 ,   45 ,   51 ,   22 ,   3.9 ,   9.15 ,   30.72 
 20 ,  C98 / BUSD,   42.795 ,   0 ,   24 ,   23 ,  ,   12.135 ,   30.66 
 21 ,  UFT / BUSD,   41.645 ,   10 ,   30 ,   38 ,   6.94 ,   10.785 ,   23.92 
 22 ,  ERN / USDT,   41.19 ,   0 ,   16 ,   31 ,  ,   13.83 ,   27.36 
 23 ,  DEGO / USDT,   39.2 ,   0 ,   0 ,   13 ,  ,  ,   39.2 
 24 ,  ICP / USDT,   37.515 ,   37 ,   14 ,   53 ,   4.11 ,   14.085 ,   19.32 
 25 ,  BAR / USDT,   37.245 ,   42 ,   34 ,   41 ,   3.97 ,   10.395 ,   22.88 
 26 ,  ATM / USDT,   36.78 ,   19 ,   39 ,   44 ,   5.36 ,   9.72 ,   21.7 
 27 ,  COCOS / USDT,   36.68 ,   0 ,   37 ,   32 ,  ,   9.78 ,   26.9 
 28 ,  AXS / USDT,   36.365 ,   6 ,   61 ,   50 ,   8.28 ,   8.445 ,   19.64 
 29 ,  AXS / BTC,   34.88 ,   46 ,   0 ,   21 ,   3.86 ,  ,   31.02 
 30 ,  AXS / BNB,   34.44 ,   0 ,   0 ,   16 ,  ,  ,   34.44 
 31 ,  LTO / USDT,   32.57 ,   40 ,   0 ,   28 ,   4.03 ,  ,   28.54 
 32 ,  DEGO / BUSD,   32.3 ,   0 ,   0 ,   17 ,  ,  ,   32.3 
 33 ,  ALICE / BTC,   31.6 ,   0 ,   0 ,   19 ,  ,  ,   31.6 
 34 ,  ATA / USDT,   31.24 ,   0 ,   0 ,   20 ,  ,  ,   31.24 
 35 ,  REP / USDT,   30.56 ,   0 ,   0 ,   24 ,  ,  ,   30.56 
 36 ,  CHR / BUSD,   29.56 ,   0 ,   0 ,   25 ,  ,  ,   29.56 
 37 ,  MASK / USDT,   29.215 ,   0 ,   32 ,   60 ,  ,   10.635 ,   18.58 
 38 ,  OM / USDT,   29.2 ,   50 ,   0 ,   34 ,   3.76 ,  ,   25.44 
 39 ,  SAND / USDT,   28.98 ,   0 ,   0 ,   27 ,  ,  ,   28.98 
 40 ,  BQX / BTC,   28.75 ,   0 ,   46 ,   52 ,  ,   9.33 ,   19.42 
 41 ,  DATA / USDT,   28.48 ,   0 ,   60 ,   48 ,  ,   8.46 ,   20.02 
 42 ,  LTO / BUSD,   28.08 ,   61 ,   0 ,   37 ,   3.36 ,  ,   24.72 
 43 ,  TVK / BTC,   27.9 ,   0 ,   0 ,   29 ,  ,  ,   27.9 
 44 ,  OM / BUSD,   27.63 ,   47 ,   0 ,   39 ,   3.81 ,  ,   23.82 
 45 ,  ATA / BUSD,   27.58 ,   0 ,   0 ,   30 ,  ,  ,   27.58 
 46 ,  FET / USDT,   27.02 ,   21 ,   0 ,   43 ,   5.26 ,  ,   21.76 
 47 ,  DEGO / BTC,   26.2 ,   0 ,   0 ,   33 ,  ,  ,   26.2 
 48 ,  AXS / BUSD,   25.57 ,   8 ,   0 ,   61 ,   7.37 ,  ,   18.2 
 49 ,  AUDIO / BTC,   25.35 ,   53 ,   0 ,   42 ,   3.47 ,  ,   21.88 
 50 ,  QNT / USDT,   25.16 ,   0 ,   0 ,   35 ,  ,  ,   25.16 
 51 ,  PERP / USDT,   25.02 ,   0 ,   0 ,   36 ,  ,  ,   25.02 
 52 ,  MLN / USDT,   23.81 ,   35 ,   0 ,   51 ,   4.27 ,  ,   19.54 
 53 ,  RVN / USDT,   23.66 ,   23 ,   0 ,   58 ,   4.96 ,  ,   18.7 
 54 ,  SAND / BUSD,   22.92 ,   0 ,   0 ,   40 ,  ,  ,   22.92 
 55 ,  VITE / USDT,   22.83 ,   56 ,   42 ,   0 ,   3.42 ,   9.705 ,  ,  
 56 ,  EZ / BTC,   21.905 ,   12 ,   7 ,   0 ,   6.59 ,   15.315 ,  ,  
 57 ,  TLM / BTC,   21.4 ,   0 ,   0 ,   45 ,  ,  ,   21.4 
 58 ,  EPS / BTC,   21.06 ,   0 ,   0 ,   46 ,  ,  ,   21.06 
 59 ,  QNT / BUSD,   20.7 ,   0 ,   0 ,   47 ,  ,  ,   20.7 
 60 ,  MFT / USDT,   20.22 ,   29 ,   5 ,   0 ,   4.62 ,   15.6 ,  ,  
 61 ,  PERP / BUSD,   20 ,   0 ,   0 ,   49 ,  ,  ,   20 
 62 ,  TRU / BTC,   19.945 ,   11 ,   21 ,   0 ,   6.76 ,   13.185 ,  ,  
 63 ,  AXS / BRL,   19.355 ,   4 ,   50 ,   0 ,   10.19 ,   9.165 ,  ,  
 64 ,  GAS / BTC,   19.08 ,   0 ,   0 ,   54 ,  ,  ,   19.08 
 65 ,  C98 / BTC,   18.86 ,   0 ,   0 ,   55 ,  ,  ,   18.86 
 66 ,  BAKE / USDT,   18.8 ,   0 ,   0 ,   56 ,  ,  ,   18.8 
 67 ,  FET / BTC,   18.74 ,   0 ,   0 ,   57 ,  ,  ,   18.74 
 68 ,  ARDR / USDT,   18.64 ,   0 ,   0 ,   59 ,  ,  ,   18.64 
 69 ,  PSG / BTC,   18.035 ,   34 ,   17 ,   0 ,   4.31 ,   13.725 ,  ,  
 70 ,  JUV / USDT,   17.215 ,   14 ,   28 ,   0 ,   6.07 ,   11.145 ,  ,  
 71 ,  QUICK / BUSD,   17.09 ,   60 ,   19 ,   0 ,   3.38 ,   13.71 ,  ,  
 72 ,  TVK / USDT,   16.845 ,   0 ,   4 ,   0 ,  ,   16.845 ,  ,  
 73 ,  CLV / USDT,   16.325 ,   15 ,   35 ,   0 ,   6.02 ,   10.305 ,  ,  
 74 ,  REQ / BTC,   15.37 ,   1 ,   0 ,   0 ,   15.37 ,  ,  ,  
 75 ,  CLV / BUSD,   14.795 ,   18 ,   47 ,   0 ,   5.51 ,   9.285 ,  ,  
 76 ,  ICP / BUSD,   14.745 ,   59 ,   27 ,   0 ,   3.39 ,   11.355 ,  ,  
 77 ,  WIN / USDT,   14.71 ,   20 ,   44 ,   0 ,   5.32 ,   9.39 ,  ,  
 78 ,  QUICK / BTC,   14.61 ,   0 ,   9 ,   0 ,  ,   14.61 ,  ,  
 79 ,  TORN / BUSD,   14.16 ,   0 ,   12 ,   0 ,  ,   14.16 ,  ,  
 80 ,  WIN / BUSD,   13.67 ,   24 ,   55 ,   0 ,   4.94 ,   8.73 ,  ,  
 81 ,  BCD / BTC,   13.615 ,   31 ,   52 ,   0 ,   4.54 ,   9.075001 ,  ,  
 82 ,  UTK / USDT,   13.31 ,   22 ,   63 ,   0 ,   5.21 ,   8.1 ,  ,  
 83 ,  TORN / USDT,   13.305 ,   0 ,   20 ,   0 ,  ,   13.305 ,  ,  
